index,diff
1,6.318065334
2,5.589498292
3,4.020335125
4,4.443296166
5,6.822841375
6,4.370100166
7,4.083619625
8,3.743652583
9,6.574937042
10,4.912176792
11,4.982831083
12,3.946297167
13,3.972749750
14,7.677432917
15,4.541183917
16,4.433318208
17,6.193996750
18,4.225730875
19,5.277414458
20,3.769823667
21,11.799186375
22,4.994209542
23,4.417333500
24,5.101459083
25,5.522770333
26,4.398400417
27,4.978606250
28,4.708572291
29,4.656791375
30,3.712738917
31,4.725730500
32,6.717586125
33,5.359845000
34,5.998378458
35,5.160098958
36,4.570116292
37,4.894325208
38,6.949967042
39,4.188607083
40,4.678344250
41,6.005553625
42,4.722009875
43,6.633663583
44,5.428022459
45,4.664559084
46,4.566313667
47,6.486276542
48,4.827799916
49,4.965781
50,4.265409750
51,4.507131666
52,3.674291291
53,4.321498750
54,3.8758195
55,5.243400791
56,5.275862084
57,6.113965125
58,8.233882750
59,4.809828959
60,5.399298542
61,5.662291084
62,4.511615042
63,4.139871292
64,7.110331000
65,4.257439083
66,3.991463333
67,5.288272583
68,7.130219542
69,5.712651875
70,4.944835333
71,9.653444958
72,5.182614875
73,8.201648958
74,5.321976875
75,4.918172333
76,3.980134208
77,7.332985708
78,4.715605833
79,4.079716792
80,6.873660167
81,4.934568500
82,6.770410667
83,5.327272750
84,6.802896250
85,5.045433875
86,8.413479708
87,4.193998292
88,5.943916375
89,4.502141250
90,4.097322167
91,6.856823334
92,3.837256958
93,3.916891458
94,4.834372208
95,4.090756959
96,5.323686125
97,4.97715700
98,6.430822667
99,4.056920875
100,6.769364000
